predicted_fraction,error_value,error_rate,stretch
0.25,0.1,0.81,1.2083333333333335
0.25,0.1,0.81,1.125
0.25,0.1,0.69,1.25
0.25,0.1,1.0,1.1979166666666667
0.25,0.1,0.62,1.0416666666666665
0.25,0.1,0.88,1.1875
0.25,0.1,0.81,1.1041666666666665
0.25,0.1,0.75,1.1041666666666667
0.25,0.1,0.88,1.0625
0.25,0.1,0.69,1.1979166666666665
0.25,0.1,0.69,1.1354166666666667
0.25,0.1,0.56,1.0625
0.25,0.1,0.62,1.0416666666666665
0.25,0.1,0.81,1.25
0.25,0.1,0.75,1.125
0.25,0.1,0.62,1.125
0.25,0.1,0.81,1.1666666666666665
0.25,0.1,0.62,1.125
0.5,0.1,0.56,1.1875
0.5,0.1,0.5,1.0208333333333333
0.5,0.1,0.53,1.1770833333333333
0.5,0.1,0.53,1.140625
0.5,0.1,0.53,1.21875
0.5,0.1,0.66,1.0625
0.5,0.1,0.47,1.03125
0.5,0.1,0.72,1.1458333333333333
0.5,0.1,0.41,1.28125
0.5,0.1,0.38,1.078125
0.5,0.1,0.56,1.171875
0.5,0.1,0.53,1.1979166666666667
0.5,0.1,0.56,1.1145833333333335
0.5,0.1,0.47,1.125
0.5,0.1,0.56,1.25
0.5,0.1,0.47,1.1145833333333333
0.5,0.1,0.59,1.296875
0.5,0.1,0.38,1.15625
0.5,0.1,0.5,1.1145833333333333
0.5,0.1,0.47,1.21875
0.5,0.1,0.59,1.0625
0.5,0.1,0.69,1.0729166666666667
0.5,0.1,0.47,1.1354166666666665
0.5,0.1,0.59,1.0833333333333335
0.5,0.1,0.56,1.0677083333333335
0.5,0.1,0.31,1.125
0.5,0.1,0.44,1.0625
0.5,0.1,0.59,1.2083333333333335
0.5,0.1,0.5,1.125
0.5,0.1,0.44,1.140625
0.5,0.1,0.47,1.2708333333333333
0.5,0.1,0.53,1.2083333333333335
0.5,0.1,0.28,1.203125
0.5,0.1,0.41,1.09375
0.5,0.1,0.53,1.1875
0.5,0.1,0.44,1.2604166666666667
0.5,0.1,0.53,1.0625
0.5,0.1,0.41,1.140625
0.5,0.1,0.5,1.0833333333333333
0.5,0.1,0.66,1.1979166666666665
0.5,0.1,0.53,1.1145833333333333
0.5,0.1,0.38,1.0833333333333335
0.5,0.1,0.38,1.0625
0.5,0.1,0.56,1.0729166666666667
0.5,0.1,0.5,1.0833333333333335
0.5,0.1,0.59,1.21875
0.5,0.1,0.62,1.125
0.5,0.1,0.62,1.2083333333333335
0.5,0.1,0.5,1.0520833333333335
0.5,0.1,0.59,1.1145833333333333
0.0312,0.2,1.0,2.0
0.0312,0.2,1.0,1.5
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,2.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,2.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,0.0,1.0
0.0312,0.2,1.0,1.6666666666666667
0.0312,0.2,1.0,2.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,2.0
